brand	file	size_kb	pages	type_detected	price_suggested	price_final	title	slug	description	notes
DELTA	Delta 40-530C scie a chantourner.pdf	11362	18	Unknown	10	10	DELTA - Delta 40-530C scie a chantourner	delta-delta-40-530c-scie-a-chantourner		
DeWALT	Dewalt DW 3401 3403 3501 3503 scie a ruban.pdf	3119	9	Unknown	10	10	DEWALT - Dewalt DW 3401 3403 3501 3503 scie a ruban	dewalt-dewalt-dw-3401-3403-3501-3503-scie-a-ruban		
DeWALT	Dewalt DW110.pdf	3140	22	Unknown	10	10	DEWALT - Dewalt DW110	dewalt-dewalt-dw110		
DeWALT	dewalt DW125.pdf	12195	42	Unknown	10	10	DEWALT - dewalt DW125	dewalt-dewalt-dw125		
DeWALT	DeWalt DW1251 scie radiale.pdf	71195	27	Unknown	10	10	DEWALT - DeWalt DW1251 scie radiale	dewalt-dewalt-dw1251-scie-radiale		
DeWALT	DeWalt dw721 scie radiale.pdf	1945	144	Unknown	10	10	DEWALT - DeWalt dw721 scie radiale	dewalt-dewalt-dw721-scie-radiale		
DeWALT	DeWalt DW728-729 scie radiale.pdf	1665	128	Unknown	10	10	DEWALT - DeWalt DW728-729 scie radiale	dewalt-dewalt-dw728-729-scie-radiale		
DeWALT	Dewalt radial arm saw 5.pdf	1168	28	Unknown	10	10	DEWALT - Dewalt radial arm saw 5	dewalt-dewalt-radial-arm-saw-5		
DeWALT	Dewalt radial arm saw 790.pdf	2908	21	Unknown	10	10	DEWALT - Dewalt radial arm saw 790	dewalt-dewalt-radial-arm-saw-790		
EINHELL	Einhell TC-SP 204 manuel.pdf	2622	78	Manual	25	25	EINHELL - Einhell TC-SP 204 manuel	einhell-einhell-tc-sp-204-manuel		
ELEKTRA	Elektra Beckum bas 316g dnb.pdf	1500	16	Unknown	10	10	ELEKTRA - Elektra Beckum bas 316g dnb	elektra-elektra-beckum-bas-316g-dnb		
ELEKTRA	Elektra Beckum BAS315.pdf	13613	7	Unknown	10	10	ELEKTRA - Elektra Beckum BAS315	elektra-elektra-beckum-bas315		
ELEKTRA	Elektra Beckum HC 260 M instruction.pdf	2223	20	Manual	15	15	ELEKTRA - Elektra Beckum HC 260 M instruction	elektra-elektra-beckum-hc-260-m-instruction		
ELEKTRA	Elektra Beckum HC 260 manual.pdf	28716	16	Manual	15	15	ELEKTRA - Elektra Beckum HC 260 manual	elektra-elektra-beckum-hc-260-manual		
ERPHI	ERPHI 561 combine bois Notice utilisation.pdf	25641	18	Notice	10	10	ERPHI - ERPHI 561 combine bois Notice utilisation	erphi-erphi-561-combine-bois-notice-utilisation		
EVOLUTION	Evolution FURY5-S.pdf	9495	126	Unknown	10	10	EVOLUTION - Evolution FURY5-S	evolution-evolution-fury5-s		
FELDER	Felder Manuel S-308 F-38 F-48 V-3 V-4.pdf	2165	44	Manual	25	25	FELDER - Felder Manuel S-308 F-38 F-48 V-3 V-4	felder-felder-manuel-s-308-f-38-f-48-v-3-v-4		
FELDER	Felder-six-series-combi-planer-.pdf	7235	214	Unknown	10	10	FELDER - Felder-six-series-combi-planer-	felder-felder-six-series-combi-planer		
