brand;file;slug;title;type_detected;pages;file_size;price_suggested;price_final;status;existing_slug;notes;description
AGFA;Agfa Colorflex Ambiflex Repair Manual.pdf;agfa-agfa-colorflex-ambiflex-repair-manual;AGFA - Agfa Colorflex Ambiflex Repair Manual;Repair Manual;84;14567703;20;20;NEW;;;
AGFA;Agfa-AmbiSilette-Service.pdf;agfa-agfa-ambisilette-service;AGFA - Agfa AmbiSilette Service;Unknown;39;6649728;10;10;NEW;;;
AGFA;Agfa-Karat-1936-CLA.pdf;agfa-agfa-karat-1936-cla;AGFA - Agfa Karat 1936 CLA;Unknown;20;14537662;10;10;NEW;;;
AGFA;Agfa-Silette-1958-CLA.pdf;agfa-agfa-silette-1958-cla;AGFA - Agfa Silette 1958 CLA;Unknown;21;12091800;10;10;NEW;;;
AGFA;Agfa_Rondinax_60 $10.pdf;agfa-agfa-rondinax-60-10;AGFA - Agfa Rondinax 60;Unknown;13;1808164;10;10;NEW;;;
ALPHAX;Wollensak-Alphax-Shutter-diagram.pdf;alphax-wollensak-alphax-shutter-diagram;ALPHAX - Wollensak Alphax Shutter diagram;Unknown;2;757061;10;10;NEW;;;
AMPRO;Ampro_projector_premier.pdf;ampro-ampro-projector-premier;AMPRO - Ampro projector premier;Unknown;213;56250317;10;10;NEW;;;
ARGUS;Argus-C3-1947-CLA.pdf;argus-argus-c3-1947-cla;ARGUS - Argus C3 1947 CLA;Unknown;23;44757486;10;10;NEW;;;
ARGUS;argus-c3-c4-shutter-service.pdf;argus-argus-c3-c4-shutter-service;ARGUS - argus c3 c4 shutter service;Unknown;45;15526464;10;10;NEW;;;
ARGUS;Argus-C3-Service.pdf;argus-argus-c3-service;ARGUS - Argus C3 Service;Unknown;21;5999927;10;10;NEW;;;
ARGUS;Argus-C33-Parts.pdf;argus-argus-c33-parts;ARGUS - Argus C33 Parts;Unknown;8;838290;10;10;NEW;;;
ARGUS;Argus-C4-Service.pdf;argus-argus-c4-service;ARGUS - Argus C4 Service;Unknown;27;7144315;10;10;NEW;;;
ARRIFLEX;Arriflex-16St-Service-tutorial.pdf;arriflex-arriflex-16st-service-tutorial;ARRIFLEX - Arriflex 16St Service tutorial;Unknown;26;939043;10;10;NEW;;;
ARRIFLEX;Arriflex-2-Service.pdf;arriflex-arriflex-2-service;ARRIFLEX - Arriflex 2 Service;Unknown;60;5555275;10;10;NEW;;;
ARRIFLEX;Arriflex-35-IIC-Service-Tutorial.pdf;arriflex-arriflex-35-iic-service-tutorial;ARRIFLEX - Arriflex 35 IIC Service Tutorial;Unknown;32;4028766;10;10;NEW;;;
ARRIFLEX;Arriflex16M Notice GB $10.pdf;arriflex-arriflex16m-notice-gb-10;ARRIFLEX - Arriflex16M Notice GB;User Manual;23;1295522;10;12;NEW;;;
AUDISCAN;Audiscan 1 projector Service.pdf;audiscan-audiscan-1-projector-service;AUDISCAN - Audiscan 1 projector Service;Unknown;119;18975365;10;10;NEW;;;
BEAULIEU;Beaulieu-1008XL-Service.pdf;beaulieu-beaulieu-1008xl-service;BEAULIEU - Beaulieu 1008XL Service;Unknown;105;9158151;10;10;NEW;;;
BEAULIEU;Beaulieu-3008S-Multispeed-Service.pdf;beaulieu-beaulieu-3008s-multispeed-service;BEAULIEU - Beaulieu 3008S Multispeed Service;Unknown;29;9423311;10;10;NEW;;;
BEAULIEU;Beaulieu-4008-Service.pdf;beaulieu-beaulieu-4008-service;BEAULIEU - Beaulieu 4008 Service;Unknown;133;13840282;10;10;NEW;;;
BEAULIEU;Beaulieu-4008-ZMII-Service-Tutorial.pdf;beaulieu-beaulieu-4008-zmii-service-tutorial;BEAULIEU - Beaulieu 4008 ZMII Service Tutorial;Unknown;37;3133161;10;10;NEW;;;
BEAULIEU;Beaulieu-5008S-Service.pdf;beaulieu-beaulieu-5008s-service;BEAULIEU - Beaulieu 5008S Service;Unknown;195;39121653;10;10;NEW;;;
BEAULIEU;Beaulieu-6008 Notice GB $10.pdf;beaulieu-beaulieu-6008-notice-gb-10;BEAULIEU - Beaulieu 6008 Notice GB;User Manual;41;3759228;10;15;NEW;;;
BEAULIEU;Beaulieu-R16-Service.pdf;beaulieu-beaulieu-r16-service;BEAULIEU - Beaulieu R16 Service;Unknown;63;33896299;10;10;NEW;;;
BEIER;Beirette Notice FR $10.pdf;beier-beirette-notice-fr-10;BEIER - Beirette Notice FR;User Manual;12;10283232;10;12;NEW;;;
BELL & HOWELL;Bell-Howell-Eyemo-35mm-Military-Service.pdf;bell-howell-bell-howell-eyemo-35mm-military-service;BELL & HOWELL - Bell Howell Eyemo 35mm Military Service;Unknown;158;175667452;10;10;NEW;;;
BELL & HOWELL;BellHowell-Filmosound16mmProjector-Service.pdf;bell-howell-bellhowell-filmosound16mmprojector-service;BELL & HOWELL - BellHowell Filmosound16mmProjector Service;Unknown;32;2182413;10;10;NEW;;;
BELL & HOWELL;BellHowell-FilmosoundProjectors-Service.pdf;bell-howell-bellhowell-filmosoundprojectors-service;BELL & HOWELL - BellHowell FilmosoundProjectors Service;Unknown;42;3840946;10;10;NEW;;;
BELL & HOWELL;bh_camera_design_70.pdf;bell-howell-bh-camera-design-70;BELL & HOWELL - bh camera design 70;Unknown;37;10751681;10;10;NEW;;;
BELL & HOWELL;bh_camera_projector_tdc_stereo.pdf;bell-howell-bh-camera-projector-tdc-stereo;BELL & HOWELL - bh camera projector tdc stereo;Unknown;40;3836513;10;10;NEW;;;
BELL & HOWELL;bh_projector_1575-1580_1680.pdf;bell-howell-bh-projector-1575-1580-1680;BELL & HOWELL - bh projector 1575 1580 1680;Unknown;177;28594724;10;10;NEW;;;
BELL & HOWELL;bh_projector_1580.pdf;bell-howell-bh-projector-1580;BELL & HOWELL - bh projector 1580;Unknown;53;8823165;10;10;NEW;;;
BELL & HOWELL;bh_projector_1585a_1590a-92a.pdf;bell-howell-bh-projector-1585a-1590a-92a;BELL & HOWELL - bh projector 1585a 1590a 92a;Unknown;79;14568608;10;10;NEW;;;
